InstructorID,ExpertiseArea,HiringDate,ContractType,InstructorDegrea
1,AI,2017-12-23,Internal,Bechlor
2,AI,2022-05-03,External,PHD
3,Programming,2020-06-05,External,PHD
4,Programming,2023-12-22,External,Bechlor
5,AI,2019-02-20,External,Bechlor
6,Programming,2016-11-29,Internal,PHD
7,Networks,2019-10-29,Internal,Bechlor
8,Programming,2019-01-13,Internal,PHD
9,Programming,2021-12-10,Internal,PHD
10,AI,2016-02-07,External,PHD
11,Programming,2023-12-22,Internal,Bechlor
12,Networks,2022-12-18,External,PHD
13,Programming,2022-08-30,Internal,Bechlor
14,AI,2018-03-16,External,Bechlor
15,Networks,2020-10-06,Internal,Master
16,AI,2022-05-22,Internal,Bechlor
17,Programming,2018-08-16,Internal,Bechlor
18,Programming,2019-09-26,Internal,PHD
19,AI,2015-11-02,Internal,PHD
20,Networks,2015-08-13,Internal,Bechlor
21,AI,2022-03-11,External,Master
22,Programming,2022-08-20,Internal,Bechlor
23,Programming,2018-12-03,External,PHD
24,Programming,2019-12-07,External,PHD
25,Networks,2017-05-01,External,Master
26,AI,2015-10-26,External,PHD
27,Programming,2021-05-28,External,Master
28,AI,2019-07-14,Internal,PHD
29,Networks,2024-02-06,Internal,PHD
30,AI,2020-06-10,External,PHD
31,Programming,2020-11-02,Internal,Bechlor
32,Programming,2019-07-22,Internal,PHD
33,Programming,2022-06-24,Internal,Bechlor
34,Programming,2017-12-05,External,PHD
35,Programming,2021-01-03,Internal,Master
36,Programming,2023-04-14,External,PHD
37,AI,2020-03-01,External,Bechlor
38,Programming,2016-11-27,Internal,Master
39,AI,2023-03-26,Internal,Bechlor
40,Networks,2017-07-21,Internal,PHD
41,Programming,2023-05-06,External,PHD
42,Programming,2017-12-26,Internal,Bechlor
43,Programming,2019-07-31,External,Master
44,Networks,2018-06-24,External,Bechlor
45,Networks,2018-08-20,Internal,PHD
46,AI,2017-09-11,Internal,Master
47,Programming,2016-06-14,Internal,PHD
48,Networks,2020-11-25,External,Bechlor
49,Networks,2022-07-10,Internal,Bechlor
50,Networks,2016-03-24,External,Bechlor
51,AI,2018-12-25,External,PHD
52,Programming,2016-04-01,External,Bechlor
53,AI,2021-12-20,External,Master
54,AI,2017-08-09,External,Bechlor
55,Programming,2023-09-19,External,Master
56,Networks,2019-01-07,Internal,Bechlor
57,AI,2016-07-13,External,PHD
58,Programming,2019-12-29,Internal,PHD
59,AI,2023-06-07,Internal,Bechlor
60,AI,2022-02-27,Internal,PHD
61,Programming,2023-05-01,Internal,Master
62,AI,2022-12-07,External,Bechlor
63,AI,2017-01-27,External,Bechlor
64,Networks,2016-07-17,Internal,Master
65,Programming,2015-10-30,External,Bechlor
66,AI,2021-03-06,External,Master
67,AI,2019-01-02,Internal,Bechlor
68,Networks,2019-03-18,Internal,Master
69,AI,2019-02-24,External,Bechlor
70,AI,2017-09-16,Internal,PHD
71,Networks,2023-07-01,External,PHD
72,Networks,2024-01-21,Internal,Master
73,Programming,2021-10-04,Internal,PHD
74,Networks,2020-01-13,Internal,Bechlor
75,AI,2019-05-26,Internal,PHD
76,Networks,2021-04-04,External,Bechlor
77,Networks,2023-07-24,Internal,Bechlor
78,AI,2024-03-21,External,PHD
79,AI,2022-11-15,Internal,Master
80,Networks,2023-06-09,External,Master
81,Networks,2020-11-26,External,PHD
82,Networks,2019-07-08,External,PHD
83,AI,2017-05-11,External,Bechlor
84,Networks,2021-04-13,Internal,Bechlor
85,Programming,2021-04-01,External,PHD
86,AI,2018-12-11,External,Master
87,Networks,2022-09-12,Internal,PHD
88,AI,2023-10-24,External,Master
89,Networks,2024-04-27,Internal,Master
90,Programming,2021-04-18,External,Bechlor
91,AI,2017-02-16,External,Master
92,Programming,2024-05-15,Internal,Master
93,AI,2021-03-20,External,PHD
94,Networks,2020-04-23,External,Master
95,Programming,2017-03-26,Internal,Bechlor
96,AI,2024-01-15,Internal,PHD
97,Programming,2017-03-23,External,Bechlor
98,Networks,2017-12-01,Internal,Master
99,Programming,2020-08-18,Internal,PHD
100,Networks,2018-07-21,External,Bechlor
101,Web,2018-10-07,Internal,Master
102,Web,2020-09-24,Internal,Bechlor
103,Security,2023-10-21,External,Master
104,Data,2021-06-06,External,Master
105,Security,2018-11-13,External,Master
106,Web,2024-04-04,External,Master
107,Security,2021-05-24,External,Master
108,Data,2022-04-05,Internal,PHD
109,Security,2022-11-06,External,PHD
110,Security,2019-10-31,Internal,Bechlor
111,Security,2020-10-17,Internal,Master
112,Data,2019-12-27,External,PHD
113,Security,2023-12-20,Internal,PHD
114,Security,2023-04-16,External,PHD
115,Web,2021-09-02,External,Bechlor
116,Data,2018-10-23,Internal,Bechlor
117,Data,2020-10-17,External,Bechlor
118,Web,2023-03-14,External,PHD
119,Web,2019-08-31,External,Bechlor
120,Security,2021-05-24,External,Bechlor
121,Security,2023-02-12,External,Bechlor
122,Security,2023-05-17,Internal,Master
123,Security,2018-09-08,External,PHD
124,Data,2020-01-29,External,PHD
125,Web,2024-01-09,Internal,Bechlor
126,Security,2024-02-09,Internal,PHD
127,Web,2019-04-04,External,Master
128,Security,2021-10-21,External,Bechlor
129,Data,2023-05-08,External,PHD
130,Data,2019-04-02,Internal,Bechlor
131,Security,2021-10-01,External,Master
132,Web,2022-02-13,External,Bechlor
133,Security,2019-12-05,Internal,Master
134,Data,2021-08-02,External,Bechlor
135,Security,2020-11-05,External,PHD
136,Web,2018-08-12,External,PHD
137,Data,2018-11-27,Internal,Master
138,Data,2022-10-26,External,PHD
139,Security,2020-07-24,Internal,Bechlor
140,Data,2023-08-10,Internal,PHD
141,Web,2019-04-12,Internal,Master
142,Security,2020-08-23,Internal,Master
143,Web,2019-10-28,External,PHD
144,Data,2019-01-23,External,PHD
145,Security,2018-11-27,Internal,Bechlor
146,Web,2024-06-12,Internal,PHD
147,Web,2024-05-28,External,PHD
148,Data,2018-09-28,Internal,PHD
149,Web,2024-06-02,External,PHD
150,Web,2021-11-10,Internal,Master
151,Security,2023-04-26,Internal,Bechlor
152,Security,2020-08-05,Internal,PHD
153,Data,2019-06-15,Internal,PHD
154,Security,2019-06-05,External,Master
155,Security,2021-04-17,Internal,Bechlor
156,Web,2018-10-20,External,Master
157,Data,2020-01-26,External,Master
158,Web,2022-11-28,Internal,Master
159,Web,2021-02-14,External,Bechlor
160,Security,2019-10-12,External,Master
161,Data,2020-10-16,Internal,PHD
162,Web,2020-09-18,External,Bechlor
163,Security,2019-10-04,External,PHD
164,Web,2021-07-17,Internal,PHD
165,Security,2020-05-10,Internal,PHD
166,Data,2022-11-17,Internal,Master
167,Web,2022-06-21,Internal,PHD
168,Security,2021-08-19,External,Master
169,Security,2019-10-08,Internal,Master
170,Security,2021-04-29,External,PHD
171,Data,2023-03-31,Internal,PHD
172,Data,2020-11-03,External,PHD
173,Data,2019-02-22,Internal,Master
174,Data,2022-04-18,External,Bechlor
175,Data,2021-12-14,Internal,Bechlor
176,Web,2019-11-19,Internal,Master
177,Data,2019-05-01,External,PHD
178,Security,2023-01-03,Internal,Master
179,Web,2022-08-16,External,PHD
180,Security,2020-02-13,External,Master
181,Security,2023-05-29,External,Bechlor
182,Security,2022-09-30,External,Master
183,Data,2019-04-11,External,PHD
184,Web,2023-10-23,External,Master
185,Security,2018-11-02,Internal,Master
186,Web,2019-04-12,External,Bechlor
187,Security,2022-06-29,External,Master
188,Data,2020-12-29,External,Master
189,Security,2022-06-08,External,PHD
190,Security,2021-12-09,Internal,Master
191,Security,2019-07-13,External,PHD
192,Data,2019-05-10,Internal,Bechlor
193,Security,2019-12-24,External,Bechlor
194,Data,2020-07-24,External,PHD
195,Web,2019-09-23,Internal,Bechlor
196,Web,2023-01-25,Internal,Bechlor
197,Data,2019-12-17,External,Bechlor
198,Security,2023-01-19,Internal,Master
199,Data,2020-02-24,External,Bechlor
200,Data,2023-04-25,Internal,Bechlor
201,Web,2020-03-28,Internal,Master
202,Web,2020-10-13,External,Master
203,Data,2022-09-21,Internal,Master
204,Web,2022-01-22,Internal,PHD
205,Security,2021-10-11,Internal,PHD
206,Data,2018-08-09,Internal,Master
207,Web,2023-05-03,External,Bechlor
208,Web,2019-03-21,External,Master
209,Security,2021-05-11,Internal,Bechlor
210,Data,2024-01-31,Internal,Bechlor
211,Web,2019-12-19,External,PHD
212,Web,2019-10-26,External,Bechlor
213,Web,2020-06-05,Internal,PHD
214,Web,2020-11-23,Internal,PHD
215,Web,2018-07-15,Internal,Master
216,Data,2021-08-23,External,Master
217,Data,2019-08-12,External,Master
218,Data,2020-06-13,Internal,Bechlor
219,Data,2024-02-29,External,Master
220,Data,2020-02-04,Internal,Bechlor
221,Security,2020-10-23,External,Master
222,Security,2022-06-21,External,PHD
223,Security,2023-09-02,Internal,Bechlor
224,Web,2019-06-21,Internal,Bechlor
225,Web,2024-03-25,Internal,Master
226,Data,2024-01-14,External,PHD
227,Web,2024-01-19,Internal,Master
228,Data,2019-03-08,Internal,Bechlor
229,Security,2024-04-23,Internal,Master
230,Data,2019-08-31,Internal,Master
231,Web,2024-01-09,Internal,Master
232,Data,2022-04-30,Internal,PHD
233,Security,2021-03-23,External,PHD
234,Web,2019-06-28,External,Bechlor
235,Web,2018-12-28,External,Bechlor
236,Web,2023-07-11,External,PHD
237,Security,2023-02-06,Internal,Bechlor
238,Security,2020-05-05,Internal,PHD
239,Web,2021-09-04,External,Bechlor
240,Data,2022-01-26,External,PHD
241,Web,2022-02-20,Internal,Master
242,Web,2020-01-06,External,Bechlor
243,Data,2020-07-12,Internal,Master
244,Web,2023-03-03,Internal,PHD
245,Web,2024-02-06,External,Bechlor
246,Data,2023-10-05,External,Master
247,Web,2019-02-17,External,PHD
248,Security,2021-01-18,Internal,PHD
249,Data,2018-09-12,External,PHD
250,Security,2019-03-13,External,PHD
251,Security,2020-05-10,Internal,PHD
252,Web,2022-03-29,Internal,Bechlor
253,Web,2020-12-25,External,Master
254,Security,2022-03-30,External,PHD
255,Security,2019-10-31,External,Bechlor
256,Security,2020-06-29,Internal,Master
257,Security,2021-12-03,Internal,Bechlor
258,Security,2020-03-21,Internal,PHD
259,Data,2020-09-11,External,PHD
260,Security,2022-02-10,Internal,Bechlor
261,Data,2018-09-25,External,Master
262,Data,2022-02-04,External,Bechlor
263,Data,2020-06-04,External,Bechlor
264,Data,2019-09-21,External,Master
265,Data,2023-02-20,External,PHD
266,Data,2024-02-12,External,Bechlor
267,Security,2018-06-22,External,PHD
268,Web,2024-03-02,Internal,Bechlor
269,Data,2023-11-28,Internal,Bechlor
270,Security,2021-12-27,External,Master
271,Security,2022-11-15,Internal,PHD
272,Web,2022-06-28,External,PHD
273,Security,2018-06-20,External,PHD
274,Data,2018-09-14,External,Master
275,Security,2023-03-14,External,Master
276,Data,2023-05-06,Internal,PHD
277,Security,2023-05-19,External,Master
278,Web,2021-01-21,External,Master
279,Data,2018-09-02,External,Master
280,Data,2020-06-01,Internal,PHD
281,Security,2018-09-12,External,Bechlor
282,Web,2019-12-10,Internal,PHD
283,Security,2019-11-05,External,Bechlor
284,Data,2023-09-29,External,PHD
285,Security,2022-04-16,Internal,PHD
286,Security,2021-11-17,External,PHD
287,Security,2019-07-05,External,Master
288,Web,2021-05-19,External,Master
289,Data,2020-09-07,External,Bechlor
290,Data,2020-02-17,External,PHD
291,Data,2019-10-24,External,Master
292,Data,2024-01-08,Internal,PHD
293,Web,2023-08-10,Internal,Master
294,Data,2022-11-08,Internal,PHD
295,Security,2024-02-04,Internal,PHD
296,Web,2019-07-26,Internal,Bechlor
297,Web,2022-05-21,External,Master
298,Data,2018-08-15,Internal,Bechlor
299,Data,2019-01-30,Internal,Bechlor
300,Security,2023-07-28,Internal,Bechlor
